"id","name","line","coordinates"
"110100023339035","金安桥","S1线","116.163167,39.923620"
"900000069871003","四道桥","S1线","116.134010,39.916030"
"900000069871004","桥户营","S1线","116.125809,39.912383"
"900000069871005","上岸","S1线","116.122225,39.905138"
"900000069871006","栗园庄","S1线","116.123254,39.895780"
"900000069871007","小园","S1线","116.114443,39.890465"
"900000069871008","石厂","S1线","116.100334,39.889378"
"110100023110002","苹果园","1号线","116.177388,39.926727"
"110100023110003","古城","1号线","116.190337,39.907450"
"110100023110004","八角游乐园","1号线","116.212684,39.907442"
"110100023110005","八宝山","1号线","116.235948,39.907440"
"110100023110006","玉泉路","1号线","116.252888,39.907433"
"110100023110007","五棵松","1号线","116.273987,39.907456"
"110100023110008","万寿路","1号线","116.294765,39.907474"
"110100023110009","公主坟","1号线","116.309919,39.907469"
"110100023110010","军事博物馆","1号线","116.321459,39.907422"
"110100023110011","木樨地","1号线","116.337583,39.907379"
"110100023110012","南礼士路","1号线","116.352583,39.907234"
"110100023098016","复兴门","1号线","116.356866,39.907242"
"110100023076018","西单","1号线","116.374072,39.907383"
"110100023110015","天安门西","1号线","116.391278,39.907472"
"110100023110016","天安门东","1号线","116.401216,39.907780"
"110100023110017","王府井","1号线","116.411571,39.908069"
"110100023100007","东单","1号线","116.418480,39.908325"
"110100023098009","建国门","1号线","116.435806,39.908501"
"110100023110020","永安里","1号线","116.450497,39.908454"
"110100023110021","国贸","1号线","116.461841,39.909104"
"110100023110022","大望路","1号线","116.475783,39.908287"
"110100023110023","四惠","1号线","116.495456,39.908749"
"110100023110024","四惠东","1号线","116.515664,39.908495"
"110100023098002","积水潭","2号线","116.373126,39.948653"
"110100023098003","鼓楼大街","2号线","116.393776,39.948972"
"110100023098004","安定门","2号线","116.408240,39.949180"
"110100023098005","雍和宫","2号线","116.417069,39.949336"
"110100023096004","东直门","2号线","116.435842,39.941626"
"110100023098007","东四十条","2号线","116.434133,39.933801"
"110100023098008","朝阳门","2号线","116.434584,39.924499"
"110100023098009","建国门","2号线","116.435806,39.908501"
